Holiday_ID,countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,Month
25837,Poland,Narodowe ?wi?to Niepodleg?o?ci,Narodowe ?wi?to Niepodleg?o?ci,NULL,PL,11/11/2019,11
25841,Norway,Søndag,Søndag,NULL,NO,11/17/2019,11
25847,Norway,Søndag,Søndag,NULL,NO,11/24/2019,11
25850,Scotland,St. Andrew's Day,St. Andrew's Day,NULL,NULL,11/30/2019,11
25852,Norway,Søndag,Søndag,NULL,NO,12/1/2019,12
25853,Portugal,Restauração da Independência,Restauração da Independência,NULL,PT,12/1/2019,12
25855,Finland,Itsenäisyyspäivä,Itsenäisyyspäivä,NULL,FI,12/6/2019,12
25856,Spain,Día de la constitución Española,Día de la constitución Española,NULL,ES,12/6/2019,12
25858,Austria,Mariä Empfängnis,Mariä Empfängnis,NULL,AT,12/8/2019,12
25859,Italy,Immacolata Concezione,Immacolata Concezione,NULL,IT,12/8/2019,12
25860,Norway,Søndag,Søndag,NULL,NO,12/8/2019,12
25861,Portugal,Imaculada Conceição,Imaculada Conceição,NULL,PT,12/8/2019,12
25862,Spain,La Inmaculada Concepción,La Inmaculada Concepción,NULL,ES,12/8/2019,12
25864,Norway,Søndag,Søndag,NULL,NO,12/15/2019,12
25867,Norway,Søndag,Søndag,NULL,NO,12/22/2019,12
25870,Finland,Jouluaatto,Jouluaatto,NULL,FI,12/24/2019,12
25871,Hungary,Szenteste,Szenteste,NULL,HU,12/24/2019,12
25875,Austria,Christtag,Christtag,NULL,AT,12/25/2019,12
25877,Belgium,Kerstmis,Kerstmis,NULL,BE,12/25/2019,12
25881,Croatia,Boži?,Boži?,NULL,HR,12/25/2019,12
25884,England,Christmas Day,Christmas Day,NULL,NULL,12/25/2019,12
25885,Finland,Joulupäivä,Joulupäivä,NULL,FI,12/25/2019,12
25886,France,Noël,Noël,NULL,FR,12/25/2019,12
25887,Germany,Erster Weihnachtstag,Erster Weihnachtstag,NULL,DE,12/25/2019,12
25888,Hungary,Karácsony,Karácsony,NULL,HU,12/25/2019,12
25892,Italy,Natale,Natale,NULL,IT,12/25/2019,12
25897,Norway,Første juledag,Første juledag,NULL,NO,12/25/2019,12
